channel fm: 300baud(0) -> 600baud(1) -> 1200baud(2) -> vf12(18) -> vf4(8) -> vf6(6)
radios A=ic705, B=ht; seed=20260829; trials=10
opening radios (ic705, ht)...
warming up 3s...

== 300baud (ID 0, DATA chunk 88 B) ==

  A:ic705->B:ht: 10 x 98 B
    1/10: keyed=4.34s rx=70080 confidence=0.981 decoded
    2/10: keyed=4.34s rx=70200 confidence=0.980 decoded
    3/10: keyed=4.34s rx=70080 confidence=0.980 decoded
    4/10: keyed=4.34s rx=70080 confidence=0.980 decoded
    5/10: keyed=4.34s rx=70080 confidence=0.980 decoded
    6/10: keyed=4.34s rx=70200 confidence=0.980 decoded
    7/10: keyed=4.34s rx=70080 confidence=0.980 decoded
    8/10: keyed=4.34s rx=70080 confidence=0.980 decoded
    9/10: keyed=4.34s rx=70080 confidence=0.980 decoded
    10/10: keyed=4.34s rx=70080 confidence=0.980 decoded

  B:ht->A:ic705: 10 x 98 B
    1/10: keyed=4.34s rx=70080 confidence=0.991 decoded
    2/10: keyed=4.34s rx=70200 confidence=0.991 decoded
    3/10: keyed=4.34s rx=70200 confidence=0.991 decoded
    4/10: keyed=4.34s rx=70080 confidence=0.992 decoded
    5/10: keyed=4.34s rx=70080 confidence=0.991 decoded
    6/10: keyed=4.33s rx=69960 confidence=0.991 decoded
    7/10: keyed=4.34s rx=70080 confidence=0.991 decoded
    8/10: keyed=4.34s rx=70200 confidence=0.990 decoded
    9/10: keyed=4.34s rx=70200 confidence=0.991 decoded
    10/10: keyed=4.33s rx=69960 confidence=0.991 decoded

== 600baud (ID 1, DATA chunk 193 B) ==

  A:ic705->B:ht: 10 x 203 B
    1/10: keyed=4.35s rx=70320 confidence=0.989 decoded
    2/10: keyed=4.35s rx=70200 confidence=0.989 decoded
    3/10: keyed=4.35s rx=70200 confidence=0.989 decoded
    4/10: keyed=4.35s rx=70200 confidence=0.989 decoded
    5/10: keyed=4.35s rx=70320 confidence=0.989 decoded
    6/10: keyed=4.35s rx=70200 confidence=0.989 decoded
    7/10: keyed=4.35s rx=70200 confidence=0.989 decoded
    8/10: keyed=4.35s rx=70200 confidence=0.989 decoded
    9/10: keyed=4.35s rx=70200 confidence=0.989 decoded
    10/10: keyed=4.35s rx=70200 confidence=0.989 decoded

  B:ht->A:ic705: 10 x 203 B
